,iso3,region_txt
0,MRT,Sub-Saharan Africa
1,HTI,Central America & Caribbean
2,PAK,South Asia
3,IND,South Asia
4,NPL,South Asia
5,MDA,Eastern Europe
6,BEN,Sub-Saharan Africa
7,GMB,Sub-Saharan Africa
8,GAB,Sub-Saharan Africa
9,SEN,Sub-Saharan Africa
10,ETH,Sub-Saharan Africa
11,SLE,Sub-Saharan Africa
12,TGO,Sub-Saharan Africa
13,ERI,Sub-Saharan Africa
14,GIN,Sub-Saharan Africa
15,GHA,Sub-Saharan Africa
16,GNB,Sub-Saharan Africa
17,CMR,Sub-Saharan Africa
18,SDN,Sub-Saharan Africa
19,COD,Sub-Saharan Africa
20,THA,Southeast Asia
21,UGA,Sub-Saharan Africa
22,BFA,Sub-Saharan Africa
23,SOM,Sub-Saharan Africa
24,NER,Sub-Saharan Africa
25,TZA,Sub-Saharan Africa
26,LAO,Southeast Asia
27,CAF,Sub-Saharan Africa
28,LBR,Sub-Saharan Africa
29,MWI,Sub-Saharan Africa
30,TCD,Sub-Saharan Africa
31,MOZ,Sub-Saharan Africa
32,MLI,Sub-Saharan Africa
33,GNQ,Sub-Saharan Africa
34,KHM,Southeast Asia
35,BWA,Sub-Saharan Africa
36,ZMB,Sub-Saharan Africa
37,BDI,Sub-Saharan Africa
38,MMR,Southeast Asia
39,RWA,Sub-Saharan Africa
40,LSO,Sub-Saharan Africa
41,ZWE,Sub-Saharan Africa
42,NAM,Sub-Saharan Africa
43,UZB,Central Asia
44,NGA,Sub-Saharan Africa
45,RUS,Eastern Europe
46,GEO,Central Asia
47,AZE,Central Asia
48,ALB,Eastern Europe
49,MNE,Eastern Europe
50,CZE,Eastern Europe
51,HUN,Eastern Europe
52,BGR,Eastern Europe
53,ARM,Central Asia
54,AFG,South Asia
55,SRB,Eastern Europe
56,HRV,Eastern Europe
57,POL,Eastern Europe
58,VNM,Southeast Asia
59,PER,South America
60,DJI,Sub-Saharan Africa
61,SVN,Eastern Europe
62,SUR,South America
63,ECU,South America
64,TJK,Central Asia
65,BGD,South Asia
66,URY,South America
67,COL,South America
68,PRY,South America
69,VEN,South America
70,BOL,South America
71,GUY,South America
72,LBY,Middle East & North Africa
73,DOM,Central America & Caribbean
74,MKD,Eastern Europe
75,KGZ,Central Asia
76,SAU,Middle East & North Africa
77,TKM,Central Asia
78,CHN,East Asia
79,KAZ,Central Asia
80,UKR,Eastern Europe
81,JOR,Middle East & North Africa
82,ARE,Middle East & North Africa
83,CHL,South America
84,TUR,Middle East & North Africa
85,DZA,Middle East & North Africa
86,YEM,Middle East & North Africa
87,MAR,Middle East & North Africa
88,BRA,South America
89,SLV,Central America & Caribbean
90,BHR,Middle East & North Africa
91,QAT,Middle East & North Africa
92,PHL,Southeast Asia
93,KWT,Middle East & North Africa
94,GTM,Central America & Caribbean
95,KEN,Sub-Saharan Africa
96,IRN,Middle East & North Africa
97,IRQ,Middle East & North Africa
98,SYR,Middle East & North Africa
99,PNG,Australasia & Oceania
100,MEX,North America
101,NIC,Central America & Caribbean
102,HND,Central America & Caribbean
103,ISR,Middle East & North Africa
104,MDG,Sub-Saharan Africa
105,EGY,Middle East & North Africa
106,IDN,Southeast Asia
107,ZAF,Sub-Saharan Africa
108,AGO,Sub-Saharan Africa
109,BLR,Eastern Europe
110,LKA,South Asia
111,LBN,Middle East & North Africa
112,MYS,Southeast Asia
113,ARG,South America
114,TUN,Middle East & North Africa
115,JAM,Central America & Caribbean
116,ROU,Eastern Europe
117,SWZ,Sub-Saharan Africa
118,BRN,Southeast Asia
119,LTU,Eastern Europe
120,EST,Eastern Europe
121,JPN,East Asia
122,LVA,Eastern Europe
123,ITA,Western Europe
124,TTO,Central America & Caribbean
125,USA,North America
126,BRB,Central America & Caribbean
127,DEU,Western Europe
128,KOR,East Asia
129,AUS,Australasia & Oceania
130,FRA,Western Europe
131,NLD,Western Europe
132,SGP,Southeast Asia
133,MUS,South Asia
134,CAN,North America
135,PAN,Central America & Caribbean
136,CRI,Central America & Caribbean
137,PRT,Western Europe
138,ESP,Western Europe
139,CUB,Central America & Caribbean
140,AUT,Western Europe
141,BEL,Western Europe
142,GRC,Western Europe
143,DNK,Western Europe
144,FIN,Western Europe
145,LUX,Western Europe
146,NOR,Western Europe
147,SWE,Western Europe
148,CHE,Western Europe
149,NZL,Australasia & Oceania
150,GBR,Western Europe
151,IRL,Western Europe
152,ISL,Western Europe
