"","region","year_group","country_txt","type_sankey","target_sankey","dbsource_sankey","count_attacks","kills","wounded"
"1","Middle East & North Africa","1970-1974","Algeria","Hostage Taking","Government","PGIS",1,0,0
"2","Middle East & North Africa","1970-1974","Egypt","Bombing/Explosion","Transportation","PGIS",1,0,2
"3","Middle East & North Africa","1970-1974","Egypt","Assassination","Government","PGIS",1,1,0
"4","Middle East & North Africa","1970-1974","Egypt","Hijacking","Transportation","Other Source",1,0,0
"5","Middle East & North Africa","1970-1974","Iran","Bombing/Explosion","Private Citizens & Property","PGIS",3,0,0
"6","Middle East & North Africa","1970-1974","Iran","Bombing/Explosion","Military","PGIS",4,0,0
"7","Middle East & North Africa","1970-1974","Iran","Bombing/Explosion","Business, Utilities & Communication","PGIS",11,0,0
"8","Middle East & North Africa","1970-1974","Iran","Bombing/Explosion","Government","PGIS",8,1,2
"9","Middle East & North Africa","1970-1974","Iran","Bombing/Explosion","Transportation","PGIS",3,0,0
"10","Middle East & North Africa","1970-1974","Iran","Armed Assault","Military","PGIS",2,0,0
"11","Middle East & North Africa","1970-1974","Iran","Armed Assault","Police","PGIS",2,0,0
"12","Middle East & North Africa","1970-1974","Iran","Armed Assault","Business, Utilities & Communication","PGIS",2,0,0
"13","Middle East & North Africa","1970-1974","Iran","Assassination","Military","PGIS",3,2,1
"14","Middle East & North Africa","1970-1974","Iran","Assassination","Business, Utilities & Communication","PGIS",1,1,0
"15","Middle East & North Africa","1970-1974","Iran","Assassination","Government","PGIS",1,0,0
"16","Middle East & North Africa","1970-1974","Iran","Hostage Taking","Government","PGIS",2,0,0
"17","Middle East & North Africa","1970-1974","Iran","Unknown","Military","PGIS",1,3,0
"18","Middle East & North Africa","1970-1974","Iran","Unknown","Transportation","PGIS",1,0,0
"19","Middle East & North Africa","1970-1974","Iran","Facility/Infrastructure Attack","Business, Utilities & Communication","PGIS",1,0,0
"20","Middle East & North Africa","1970-1974","Iran","Hijacking","Transportation","Other Source",1,0,1
"21","Middle East & North Africa","1970-1974","Israel","Bombing/Explosion","Private Citizens & Property","PGIS",2,3,29
"22","Middle East & North Africa","1970-1974","Israel","Bombing/Explosion","Business, Utilities & Communication","PGIS",4,27,137
"23","Middle East & North Africa","1970-1974","Israel","Bombing/Explosion","Unknown, religious & militia","PGIS",2,0,0
"24","Middle East & North Africa","1970-1974","Israel","Bombing/Explosion","Transportation","PGIS",1,26,72
"25","Middle East & North Africa","1970-1974","Israel","Armed Assault","Private Citizens & Property","PGIS",3,9,3
"26","Middle East & North Africa","1970-1974","Israel","Assassination","Private Citizens & Property","Other Source",3,0,0
"27","Middle East & North Africa","1970-1974","Israel","Assassination","Business, Utilities & Communication","Other Source",4,0,0
"28","Middle East & North Africa","1970-1974","Israel","Assassination","Government","Other Source",7,0,0
"29","Middle East & North Africa","1970-1974","Israel","Hostage Taking","Private Citizens & Property","PGIS",2,35,0
"30","Middle East & North Africa","1970-1974","Israel","Unknown","Private Citizens & Property","PGIS",1,7,5
"31","Middle East & North Africa","1970-1974","Jordan","Bombing/Explosion","Private Citizens & Property","PGIS",1,0,0
"32","Middle East & North Africa","1970-1974","Jordan","Bombing/Explosion","Business, Utilities & Communication","PGIS",4,0,0
"33","Middle East & North Africa","1970-1974","Jordan","Bombing/Explosion","Government","PGIS",3,2,0
"34","Middle East & North Africa","1970-1974","Jordan","Armed Assault","Private Citizens & Property","PGIS",1,0,0
"35","Middle East & North Africa","1970-1974","Jordan","Armed Assault","Government","PGIS",1,0,0
"36","Middle East & North Africa","1970-1974","Jordan","Assassination","Military","PGIS",1,1,0
"37","Middle East & North Africa","1970-1974","Jordan","Assassination","Government","Other Source",4,0,0
"38","Middle East & North Africa","1970-1974","Jordan","Hostage Taking","Military","PGIS",1,0,0
"39","Middle East & North Africa","1970-1974","Jordan","Hostage Taking","Business, Utilities & Communication","PGIS",2,0,0
"40","Middle East & North Africa","1970-1974","Jordan","Hostage Taking","Government","PGIS",2,0,0
"41","Middle East & North Africa","1970-1974","Jordan","Unknown","Military","PGIS",1,0,1
"42","Middle East & North Africa","1970-1974","Jordan","Hijacking","Transportation","Other Source",1,0,0
"43","Middle East & North Africa","1970-1974","Kuwait","Bombing/Explosion","Business, Utilities & Communication","PGIS",1,0,0
"44","Middle East & North Africa","1970-1974","Kuwait","Hostage Taking","Government","PGIS",1,0,0
"45","Middle East & North Africa","1970-1974","Lebanon","Bombing/Explosion","Business, Utilities & Communication","PGIS",7,0,0
"46","Middle East & North Africa","1970-1974","Lebanon","Bombing/Explosion","Unknown, religious & militia","PGIS",1,0,4
