,country_txt,iso3,measure
0,Afghanistan,AFG,39384
1,Albania,ALB,42
2,Algeria,DZA,11066
3,Angola,AGO,3043
4,Argentina,ARG,490
5,Armenia,ARM,37
6,Australia,AUS,23
7,Austria,AUT,30
8,Azerbaijan,AZE,258
9,Bahrain,BHR,44
10,Bangladesh,BGD,1244
11,Barbados,BRB,76
12,Belarus,BLR,14
13,Belgium,BEL,79
14,Benin,BEN,0
15,Bolivia,BOL,42
16,Botswana,BWA,11
17,Brazil,BRA,203
18,Brunei,BRN,0
19,Bulgaria,BGR,28
20,Burkina Faso,BFA,134
21,Burundi,BDI,4205
22,Cambodia,KHM,543
23,Cameroon,CMR,2347
24,Canada,CAN,365
25,Central African Republic,CAF,1990
26,Chad,TCD,1119
27,Chile,CHL,228
28,China,CHN,1008
29,Colombia,COL,14698
30,Costa Rica,CRI,17
31,Croatia,HRV,248
32,Cuba,CUB,8
33,Czech Republic,CZE,6
34,Democratic Republic of the Congo,COD,4069
35,Denmark,DNK,5
36,Djibouti,DJI,274
37,Dominican Republic,DOM,34
38,Ecuador,ECU,54
39,Egypt,EGY,3869
40,El Salvador,SLV,12053
41,Equatorial Guinea,GNQ,2
42,Eritrea,ERI,46
43,Estonia,EST,3
44,Ethiopia,ETH,1765
45,Finland,FIN,11
46,France,FRA,534
47,Gabon,GAB,6
48,Gambia,GMB,13
49,Georgia,GEO,278
50,Germany,DEU,84
51,Ghana,GHA,19
52,Greece,GRC,325
53,Guatemala,GTM,5167
54,Guinea,GIN,213
55,Guinea-Bissau,GNB,17
56,Guyana,GUY,41
57,Haiti,HTI,336
58,Honduras,HND,307
59,Hungary,HUN,6
60,Iceland,ISL,0
61,India,IND,19341
62,Indonesia,IDN,1238
63,Iran,IRN,1673
64,Iraq,IRQ,78589
65,Ireland,IRL,117
66,Israel,ISR,1703
67,Italy,ITA,420
68,Jamaica,JAM,42
69,Japan,JPN,66
70,Jordan,JOR,133
71,Kazakhstan,KAZ,39
72,Kenya,KEN,1948
73,Kuwait,KWT,63
74,Kyrgyzstan,KGZ,10
75,Laos,LAO,27
76,Latvia,LVA,2
77,Lebanon,LBN,4061
78,Lesotho,LSO,46
79,Liberia,LBR,177
80,Libya,LBY,2598
81,Lithuania,LTU,1
82,Luxembourg,LUX,0
83,Macedonia,MKD,49
84,Madagascar,MDG,31
85,Malawi,MWI,33
86,Malaysia,MYS,152
87,Mali,MLI,1432
88,Mauritania,MRT,43
89,Mauritius,MUS,0
90,Mexico,MEX,780
91,Moldova,MDA,13
92,Montenegro,MNE,1
93,Morocco,MAR,292
94,Mozambique,MOZ,2711
95,Myanmar,MMR,1280
96,Namibia,NAM,220
97,Nepal,NPL,1969
98,Netherlands,NLD,37
99,New Zealand,NZL,1
100,Nicaragua,NIC,10598
101,Niger,NER,1474
102,Nigeria,NGA,22682
103,Norway,NOR,79
104,Pakistan,PAK,23822
105,Panama,PAN,38
106,Papua New Guinea,PNG,79
107,Paraguay,PRY,59
108,Peru,PER,12771
109,Philippines,PHL,9559
110,Poland,POL,9
111,Portugal,PRT,32
112,Qatar,QAT,7
113,Romania,ROU,4
114,Russia,RUS,4308
115,Rwanda,RWA,3236
116,Saudi Arabia,SAU,672
117,Senegal,SEN,325
118,Serbia,SRB,3
119,Sierra Leone,SLE,840
120,Singapore,SGP,5
121,Slovenia,SVN,1
122,Somalia,SOM,10273
123,South Africa,ZAF,2674
124,South Korea,KOR,10
125,Spain,ESP,1288
126,Sri Lanka,LKA,15530
127,Sudan,SDN,3883
128,Suriname,SUR,29
129,Swaziland,SWZ,6
130,Sweden,SWE,22
131,Switzerland,CHE,74
132,Syria,SYR,15229
133,Tajikistan,TJK,307
134,Tanzania,TZA,73
135,Thailand,THA,2742
136,Togo,TGO,76
137,Trinidad and Tobago,TTO,6
138,Tunisia,TUN,351
139,Turkey,TUR,6888
140,Turkmenistan,TKM,3
141,Uganda,UGA,3065
142,Ukraine,UKR,2261
143,United Arab Emirates,ARE,123
144,United Kingdom,GBR,3410
145,United States,USA,3771
146,Uruguay,URY,6
147,Uzbekistan,UZB,68
148,Venezuela,VEN,227
149,Vietnam,VNM,1
150,Yemen,YEM,8776
151,Zambia,ZMB,70
152,Zimbabwe,ZWE,154
